51300038681,dfd,222,299
51300046078,fcd,237,31
51300079135,dad,43,182
51300083717,add,272,104
51300113678,acc,85,294
51300128934,aab,112,102
51300142357,gfb,162,15
51300169693,aeb,46,173
51300250303,eba,6,209
51300260433,dec,23,109
51300263146,cdb,14,284
51300264546,bfe,13,286
51300265323,dac,165,80
51300323833,bca,290,112
51300340535,gfe,137,148
51300445043,bgc,241,105
51300467155,cad,262,240
51300472644,afc,56,102
51300559300,ecf,45,72
51300562706,eea,122,272
51300562750,abb,255,25
51300577817,gdd,245,21
51300580236,dfc,130,37
51300599557,geb,246,185
51300617337,dec,163,97
51300680343,gad,10,209
51300763171,cfb,75,183
51300773014,gdd,249,21
51300844530,cee,57,19
51300849436,bgg,18,138
51300888289,beg,235,56
51300892443,gde,186,195
51300987327,dgf,112,205
51300992404,beg,168,56
51300993371,dca,130,121
51300994933,fgd,255,259
51301008471,gcd,249,18
51301010623,deb,15,96
51301012412,edb,33,8
51301030556,fff,120,92
51301035048,cbb,161,185
51301043723,ebf,158,199
51301052987,ddc,179,59
51301064263,ddf,251,173
51301067976,dfg,249,28
51301069219,dgf,143,180
51301071709,edd,227,184
51301102701,bgb,166,67
51301114758,gge,64,16
51301117056,bgg,184,122
51301126421,eag,89,184
51301151720,abg,275,36
51301190056,cfa,26,204
51301208269,dee,87,278
51301222933,afc,107,94
51301235788,gce,34,59
51301236113,fgf,14,232
51301274200,cfg,19,246
51301299399,aee,215,81
51301303729,gae,67,50
51301322803,gbb,29,267
51301328258,dca,232,124
51301342439,gfe,251,119
51301348403,beb,292,177
51301382561,cff,37,53
51301401417,cea,137,299
51301413652,gdb,45,121
51301426690,gcg,260,273
51301441421,egb,139,206
51301470367,fdd,288,122
51301549143,gae,197,55
51301556074,aae,228,105
51301574041,edb,111,6
51301589094,ecc,222,219
51301592895,ecf,45,77
51301663279,dee,239,244
51301693573,ccf,21,173
51301718860,dda,43,36
51301720258,bbb,70,187
51301726074,gbg,52,267
51301734649,adc,246,75
51301747930,bcb,106,199
51301766037,cff,264,50
51301794153,aec,263,21
51301821191,bga,268,65
51301924186,eag,279,202
51301977601,dfc,21,29
51301997894,adg,286,257
51302003185,bda,174,251
51302077972,gdd,169,22
51302078444,ege,82,180
51302105903,ddf,155,202
51302113689,cdd,273,200
51302152018,age,224,261
51302168835,dcf,252,6
51302204664,cdd,23,222
51302243254,bfb,267,286
51302288366,ffe,290,238
